iter	Passed	Remaining
670	41044	20124
671	41310	20163
672	43718	21242
673	45885	22193
674	46096	22194
675	46309	22195
676	46534	22202
677	46806	22229
678	47075	22254
679	49329	23213
680	49586	23227
681	50058	23341
682	50453	23416
683	50732	23437
684	50985	23446
685	51239	23453
686	51554	23488
687	51715	23452
688	51899	23426
689	52019	23371
690	52330	23400
691	52681	23447
692	52941	23453
693	53214	23463
694	53472	23466
695	53721	23464
696	53960	23457
697	54274	23482
698	54533	23482
699	54955	23552
700	55224	23554
701	55486	23554
702	55746	23551
703	55999	23545
704	56260	23541
705	56529	23540
706	56748	23518
707	57018	23516
708	57450	23579
709	57802	23609
710	58327	23708
711	58554	23684
712	58832	23681
713	59203	23714
714	59481	23709
715	59755	23701
716	60085	23715
717	60469	23749
718	60713	23727
719	61116	23767
720	61231	23694
721	61336	23617
722	61451	23543
723	61522	23453
724	61580	23357
725	61637	23262
726	61690	23165
727	61747	23070
728	61814	22979
729	61871	22884
730	61936	22791
731	61999	22699
732	62056	22604
733	62120	22512
734	62185	22420
735	62243	22326
736	62322	22239
737	62378	22145
738	62436	22051
739	62500	21959
740	62573	21871
741	62650	21784
742	62717	21693
743	62776	21600
